sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
hs	0.95	0.05	0.325	0.122159	5.928205	15.986673	42.789744	24.358974	22	-10.058467	-16.071795	-6.013327	-36.861538	8.372302	2.593172	7.616171	3.83926	3.216216	21	-5.022999	-18.406828	-13.383829	-1.246088	-4.399955	0.38901	0.09375	0.043125	0.15	0.46	0.0303684	0.0436538	84.4545	150.5	-0.362887740524	0.0132854	-0.577750156387	66.0455	0.554489818544	0.351761164739	0.0098952	0.0074041
hs	0.65	0.35	0.075	0.067708	17.594872	21.158831	27.020513	22.307692	27	-3.56396	-9.405128	-5.841169	-9.425641	1.148861	4.498462	11.268467	18.861538	11.68	22	-6.770006	-17.501538	-10.731533	-14.363077	0.411533	0.241244	0.0525	0.03	0.075	0.571429	0.0377535	0.00931627	91.9308	30.011	1.39931585263	0.02843723	1.11947213899	61.9198	-0.232905859528	0.487193836248	0.0035786	0.00581706
hs	0.025	0.025	0.025	0.016807	17.357692	17.867458	11.719231	14.538462	23	-0.509765	-5.642308	-5.132542	5.638462	-3.328996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13815	0.0425	0.0325	0.0575	0.764706	NA	NA	NA	NA	NA	NA	NA	NA	-0.461305204418	-0.390788100917	0.00430621	0.00339508
hs	0.05	0.05	0.05	0.033898	19.680769	19.042948	14.011538	16.846154	19	0.637821	0.680769	0.042948	5.669231	-2.196794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.125893	0.0375	0.031875	0.045	0.85	0.0311853	0.00899549	66	24.0683	1.24322348931	0.02218981	1.00875912006	41.9317	-0.427575043113	-0.597347715606	0.00449119	0.00717604
hs	0	0	0	NA	2.162821	6.582748	0.144872	1.153846	18	-4.419927	-15.837179	-11.417252	2.017949	-5.428901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.056662	0.1	0.024375	0.1275	0.24375	NA	NA	NA	NA	NA	NA	NA	NA	0.0713243878036	0.00293671758544	0.0028625	0.0001214
hs	0	0	0	NA	2.29359	8.228434	5.962821	4.128205	26	-5.934845	-23.70641	-17.771566	-3.669231	-4.100229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.118698	0.135	0.029375	0.2	0.217593	NA	NA	NA	NA	NA	NA	NA	NA	-0.0341102863775	0.129422811153	0.00123	0.0041235
hs	0	0	0	NA	3.020513	8.933729	0.158974	1.589744	20	-5.913216	-16.979487	-11.066271	2.861538	-7.343985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.055774	0.06125	0.03875	0.09125	0.632653	NA	NA	NA	NA	NA	NA	NA	NA	-0.286134474377	-0.150880132787	0.0127033	0.0062873
hs	0.925	0.075	0.2875	0.120028	2.089744	5.877453	5.602564	3.846154	17	-3.78771	-14.910256	-11.122547	-3.512821	-2.031299	1.348348	2.874555	0.151652	0.75	7	-1.526207	-5.651652	-4.125445	1.196697	-2.124555	0.195539	0.24375	0.04125	0.37875	0.169231	0.0514831	0.00820872	89.6096	13.6667	1.8360565946	0.04327438	1.88050024004	75.9429	0.877821991097	0.770160035422	0.0253216	0.0230114
hs	0	0	0	NA	2.178205	5.642355	0.129487	1.153846	9	-3.46415	-6.821795	-3.357645	2.048718	-4.488509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002572	0.1075	0.031875	0.14875	0.296512	NA	NA	NA	NA	NA	NA	NA	NA	0.154568512395	0.0373958547436	0.0057481	0.0015079
hs	0.775	0.225	-0.0625	0.006494	5.517949	11.519808	19.302564	12.410256	27	-6.001859	-21.482051	-15.480192	-13.784615	0.890448	4.111828	8.760979	15.354839	9.733333	19	-4.649151	-14.888172	-10.239021	-11.243011	0.972354	0.142548	0.065	0.034375	0.1	0.528846	0.054404	0.0619516	77.9054	73.1806	-0.129915754451	0.0075476	0.0625649115959	4.7248	-0.130923003119	-0.213740103746	0.0046421	0.0079775
