sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
sl	0	0	-0.0125	0.016807	11.03974	13.63569	7.370513	9.205128	19	-2.595948	-7.960256	-5.364309	3.669231	-4.430563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.120843	0.04125	0.03125	0.05625	0.757576	NA	NA	NA	NA	NA	NA	NA	NA	-0.06654986	-0.0283622	0.0010589	0.0004402
sl	0.3	0.3	0.1875	0.054834	19.28333	20.92373	13.69103	16.48718	28	-1.6404	-8.716667	-7.076267	5.592308	-4.436554	15.37879	15.23241	16.07576	15.72727	14	0.146381	1.378788	1.232407	-0.69697	0.494866	0.121512	0.04625	0.03625	0.06125	0.783784	0.0279344	0.00900135	52.0076	25.414	1.132484	0.01893305	0.7160897	26.5936	-0.5893375	-0.6667412	0.00378742	0.00456038
sl	0.05	0.05	-0.05	0.012727	19.18077	20.92373	13.58846	16.38462	28	-1.742964	-8.819231	-7.076267	5.592308	-4.539118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.117836	0.04875	0.03875	0.06875	0.794872	0.0599129	0.00629578	154	18.8663	2.253012	0.05361712	2.099575	135.1337	-0.3527709	-0.3314371	0.00207624	0.0020573
sl	0.025	0.025	0.025	0.016807	18.28077	20.45354	13.15513	15.71795	26	-2.172768	-7.719231	-5.546463	5.125641	-4.735588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.119661	0.045	0.035	0.06	0.777778	NA	NA	NA	NA	NA	NA	NA	NA	-0.1328867	-0.015382	0.0014471	0.0001624
sl	0	0	-0.0125	0.016807	15.23718	17.16216	12.60897	13.92308	16	-1.924984	-0.762821	1.162163	2.628205	-3.239086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.161233	0.04625	0.03625	0.06125	0.783784	NA	NA	NA	NA	NA	NA	NA	NA	-0.2482486	-0.1356555	0.00253262	0.00130349
sl	0	0	-0.0125	0.016807	21.06282	20.21844	14.8859	17.97436	14	0.844382	7.062821	6.218439	6.176923	-2.24408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.148367	0.04125	0.035625	0.0525	0.863636	NA	NA	NA	NA	NA	NA	NA	NA	0.04197564	0.001229515	0.00040286	1.177e-05
sl	0	0	-0.0125	0.016807	20.21026	20.68864	15.17436	17.69231	18	-0.478379	2.210256	2.688635	5.035897	-2.996327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127709	0.04375	0.038125	0.055	0.871429	NA	NA	NA	NA	NA	NA	NA	NA	-0.2149921	-0.5089898	0.001389	0.00364203
sl	0.025	0.025	0.025	0.016807	23.49487	21.39393	21.7359	22.61538	17	2.100942	6.494872	4.39393	1.758974	1.221455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.145778	0.0725	0.05	0.11	0.689655	NA	NA	NA	NA	NA	NA	NA	NA	0.143873	0.1200214	0.0015933	0.0013531
sl	0	0	-0.0125	0.016807	16.76923	16.45687	16.05128	16.41026	19	0.312362	-2.230769	-2.543131	0.717949	-0.046612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.105731	0.10125	0.03875	0.15125	0.382716	NA	NA	NA	NA	NA	NA	NA	NA	-0.02041354	-1.696669e-05	0.0002318	2e-07
sl	0	0	-0.175	0.066038	17.35513	16.69197	14.79872	16.07692	22	0.663161	-4.644872	-5.308033	2.55641	-0.615044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127023	0.085	0.034375	0.13	0.404412	NA	NA	NA	NA	NA	NA	NA	NA	0.03646567	0.2509982	0.0005358	0.003289
sl	0.125	0.125	0.125	0.086957	13.1859	15.98667	10.04487	11.61538	27	-2.800775	-13.8141	-11.01333	3.141026	-4.371288	3.6	4.32	9.9	6.75	3	-0.72	0.6	1.32	-6.3	2.43	0.109565	0.07625	0.03625	0.11625	0.47541	NA	NA	137.55	35.2025	NA	NA	1.36287	102.3475	-0.1124205	-0.1791021	0.00088903	0.00151294
sl	0.025	0.025	0.025	0.016807	12.88718	16.22177	11.42051	12.15385	28	-3.334591	-15.11282	-11.77823	1.466667	-4.067925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.101047	0.08375	0.033125	0.12875	0.395522	NA	NA	NA	NA	NA	NA	NA	NA	0.1889552	0.1140534	0.00193652	0.0012992
sl	0	0	-0.0125	0.016807	13.96026	22.33432	33.16795	23.5641	39	-8.374066	-25.03974	-16.66568	-19.20769	1.229781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.201345	0.065	0.049375	0.09625	0.759615	NA	NA	NA	NA	NA	NA	NA	NA	0.595027	0.5069733	0.00681365	0.00619926
sl	0.025	0.025	0.025	0.016807	10.24744	19.04295	30.62436	20.4359	33	-8.795512	-22.75256	-13.95705	-20.37692	1.392949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.217152	0.07125	0.055625	0.1025	0.780702	NA	NA	NA	NA	NA	NA	NA	NA	0.1146598	-0.009586057	0.0016688	0.0001591
sl	0.175	0.175	0.05	0.007995	10.85128	19.74824	30.27692	20.5641	36	-8.896961	-25.14872	-16.25176	-19.42564	0.81586	1.142857	0.816327	1.190476	1.166667	0	0.326531	1.142857	0.816327	-0.047619	0.35034	0.190118	0.06625	0.050625	0.09125	0.764151	0.10612	0.0196791	164.286	50.447	1.685013	0.0864409	1.180686	113.839	-0.1170944	-0.175024	0.0015539	0.0025592
sl	0.025	0.025	0.025	0.016807	13.35897	21.39393	34.02564	23.69231	32	-8.034955	-18.64103	-10.60607	-20.66667	2.298378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.210902	0.0575	0.0475	0.0775	0.826087	NA	NA	NA	NA	NA	NA	NA	NA	0.07150049	-0.0768607	0.0008677	0.0010587
sl	0.025	0.025	0.0125	0.008475	13.98205	21.86413	36.47949	25.23077	33	-7.882074	-19.01795	-11.13587	-22.49744	3.366643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.219084	0.0575	0.0475	0.0775	0.826087	NA	NA	NA	NA	NA	NA	NA	NA	-0.02703421	-0.08623632	0.0003168	0.0010908
sl	0	0	-0.025	0.033898	15.24103	19.27805	25.06667	20.15385	28	-4.037021	-12.75897	-8.721954	-9.825641	0.8758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.181238	0.045	0.035	0.06	0.777778	NA	NA	NA	NA	NA	NA	NA	NA	0.5418968	0.05627127	0.0039168	0.00056465
sl	0.775	0.225	0.3625	0.12779	15.20513	18.57275	23.25641	19.23077	27	-3.367624	-11.79487	-8.427248	-8.051282	0.658017	11.66022	10.26286	10.53979	11.1	9	1.397353	2.660215	1.262862	1.12043	0.837138	0.188617	0.045	0.035	0.06	0.777778	0.0189994	0.013502	48.2161	37.1389	0.3415696	0.0054974	0.2610281	11.0772	0.5489104	0.07549207	0.00351653	0.00066498
sl	0	0	-0.05	0.017241	14.97308	17.86746	17.3859	16.17949	27	-2.894381	-12.02692	-9.132542	-2.412821	-1.68797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18147	0.045	0.035	0.06	0.777778	NA	NA	NA	NA	NA	NA	NA	NA	0.5410751	-0.01387643	0.00351811	0.00013102
