sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
ss	0.175	0.175	0.175	0.123894	18.21795	20.45354	7.423077	12.82051	22	-2.235588	-3.782051	-1.546463	10.79487	-7.633024	16.38095	15.91837	13.95238	15.16667	15	0.462585	1.380952	0.918367	2.428571	-0.751701	0.053523	0.04	0.034375	0.05125	0.859375	0.0286049	0.00737907	56.5	23.1004	1.35493	0.02122583	0.8943907	33.3996	-1.237809	-1.066778	0.01428489	0.01034894
ss	0.9	0.1	0.8625	0.754036	5.35641	8.228434	5.412821	5.384615	13	-2.872024	-7.64359	-4.771566	-0.05641	-2.843819	4.85873	6.752225	3.884127	4.371429	9	-1.893495	-4.14127	-2.247775	0.974603	-2.380796	0.070534	0.075	0.0525	0.1125	0.7	NA	NA	41.0444	46.1667	NA	NA	-0.1176044	5.1223	-0.1030768	-0.2757967	0.0019553	0.0055808
ss	1	0	0.9875	0.963878	18.16923	17.86746	16.6	17.38462	16	0.301773	2.169231	1.867458	1.569231	-0.482842	18.16923	17.86746	16.6	17.38462	16	0.301773	2.169231	1.867458	1.569231	-0.482842	0.18467	0.07	0.054375	0.10125	0.776786	NA	NA	NA	NA	NA	NA	NA	NA	0.02824054	0.1268836	0.00017142	0.00069876
ss	1	0	0	NA	17.67564	22.56942	16.01667	16.84615	33	-4.893779	-15.32436	-10.43058	1.658974	-5.723266	17.67564	22.56942	16.01667	16.84615	33	-4.893779	-15.32436	-10.43058	1.658974	-5.723266	0.113107	0.0375	0.0275	0.0475	0.733333	NA	NA	NA	NA	NA	NA	NA	NA	-0.8304655	-1.080472	0.00925889	0.01483635
ss	0.2	0.2	0.2	0.142857	5.592308	8.463533	2.612821	4.102564	15	-2.871225	-9.407692	-6.536467	2.979487	-4.360968	2.392857	2.31405	3.607143	3	2	0.078808	0.392857	0.31405	-1.214286	0.68595	0.034849	0.04875	0.033125	0.0675	0.679487	0.0303336	0.0139614	42.5893	21.8952	0.7759596	0.0163722	0.6653356	20.6941	-1.253406	-1.057677	0.0254404	0.01877804
ss	1	0	0	NA	9.344872	13.63569	9.988462	9.666667	25	-4.29082	-15.65513	-11.36431	-0.64359	-3.969025	9.344872	13.63569	9.988462	9.666667	25	-4.29082	-15.65513	-11.36431	-0.64359	-3.969025	0.150058	0.0575	0.041875	0.0825	0.728261	NA	NA	NA	NA	NA	NA	NA	NA	-0.6414198	-0.9177701	0.0093026	0.01483911
ss	0.925	0.075	-0.075	0.051282	13.55897	17.39726	21.51795	17.53846	29	-3.838287	-15.44103	-11.60274	-7.958974	0.1412	14.04204	17.48688	19.23574	16.63889	29	-3.444834	-14.95796	-11.51312	-5.193694	-0.847987	0.133884	0.0425	0.0325	0.0575	0.764706	NA	NA	32.6967	200	NA	NA	-1.811043	167.3033	0.02391095	0.1611246	0.0002702	0.00165758
ss	0.15	0.15	0.15	0.105263	22.52564	24.45021	20.24359	21.38462	30	-1.924564	-7.474359	-5.549795	2.282051	-3.06559	8.133333	7.007299	7.866667	8	2	1.126034	6.133333	5.007299	0.266667	0.992701	0.162981	0.065	0.034375	0.1	0.528846	0.0406245	0.00700256	67.2333	32.9982	1.758096	0.03362194	0.7117156	34.2351	-0.7980994	-0.9617245	0.0059235	0.00865862
ss	0.925	0.075	-0.075	0.051282	7.002564	9.639023	10.5359	8.769231	17	-2.636459	-9.997436	-7.360977	-3.533333	-0.869792	6.414414	7.186387	5.307808	5.861111	10	-0.771973	-3.585586	-2.813613	1.106607	-1.325276	0.10136	0.05875	0.043125	0.08375	0.734043	0.0205441	0.0141144	30.9002	18	0.3753782	0.0064297	0.5403909	12.9002	-1.055705	-0.9653359	0.0357072	0.0300557
ss	0.975	0.025	0.95	0.893486	10.25128	13.16549	14.46667	12.35897	14	-2.914213	-3.748718	-0.834505	-4.215385	-0.806521	10.01889	11.8262	12.50742	11.26316	9	-1.807303	1.018893	2.826197	-2.488529	-0.563039	0.242534	0.095	0.064375	0.1475	0.677632	NA	NA	NA	NA	NA	NA	NA	NA	-0.2318884	-0.2273203	0.0038045	0.0037088
ss	1	0	0	NA	15.8718	16.92706	13.46154	14.66667	28	-1.05527	-12.1282	-11.07293	2.410256	-2.260398	15.8718	16.92706	13.46154	14.66667	28	-1.05527	-12.1282	-11.07293	2.410256	-2.260398	0.124843	0.0625	0.031875	0.08875	0.51	NA	NA	NA	NA	NA	NA	NA	NA	-0.2466075	-0.1693902	0.00223811	0.00148949
